subject,qtype,correct,points
1161,b,0,2
1161,c,4,7
1161,f,0,1
1161,g,4,8
1224,b,13,17
1224,d,13,23
1224,e,5,7
1224,g,3,4
3270,a,6,9
3270,d,16,19
3270,f,5,7
3270,g,6,7
3782,b,17,17
3782,c,5,7
3782,e,4,7
3782,h,12,14
3881,a,6,9
3881,d,22,23
3881,f,4,7
3881,g,3,4
4747,a,7,9
4747,d,18,23
4747,f,32,34
4747,g,4,8
6033,a,0,2
6033,c,6,11
6033,f,5,7
6033,h,4,7
6224,b,13,17
6224,c,7,11
6224,e,4,7
6224,h,21,26
6490,b,8,9
6490,c,6,11
6490,e,14,18
6490,h,21,25
9351,a,0,1
9351,d,22,23
9351,e,9,13
9351,h,14,14
