rank,correct,incorrect,ratio,duration
0,42,31,0.575342465753425,37961.3287671233
1,48,25,0.657534246575342,30148.2328767123
2,50,23,0.684931506849315,30357.0
3,47,26,0.643835616438356,33683.7397260274
4,48,25,0.657534246575342,31002.1506849315
5,43,30,0.589041095890411,32405.3150684931
6,56,17,0.767123287671233,29824.6575342466
7,49,24,0.671232876712329,29359.5342465753
8,57,16,0.780821917808219,28415.7123287671
9,52,21,0.712328767123288,35306.904109589
10,41,32,0.561643835616438,32245.4520547945
11,50,23,0.684931506849315,28977.6575342466
12,44,29,0.602739726027397,30514.9178082192
13,51,22,0.698630136986301,32853.7397260274
14,61,12,0.835616438356164,31079.301369863
15,48,25,0.657534246575342,30519.7945205479
16,54,19,0.73972602739726,31684.4794520548
17,53,20,0.726027397260274,27674.8219178082
18,53,20,0.726027397260274,31489.0273972603
19,52,21,0.712328767123288,25368.2054794521
20,50,23,0.684931506849315,23595.4931506849
21,48,25,0.657534246575342,26622.7534246575
22,52,21,0.712328767123288,29017.1095890411
23,53,20,0.726027397260274,24747.5068493151
24,51,22,0.698630136986301,24601.4931506849
25,52,21,0.712328767123288,26336.8493150685
26,46,27,0.63013698630137,27470.1506849315
27,56,17,0.767123287671233,24908.7945205479
28,50,23,0.684931506849315,25688.9315068493
29,52,21,0.712328767123288,26485.4520547945
30,47,26,0.643835616438356,31663.0547945205
31,41,32,0.561643835616438,28611.2876712329
32,57,16,0.780821917808219,23095.2328767123
33,57,16,0.780821917808219,24777.8767123288
34,53,20,0.726027397260274,23002.8356164384
35,47,26,0.643835616438356,23437.2191780822
36,53,20,0.726027397260274,23735.7808219178
37,52,21,0.712328767123288,23473.2328767123
38,55,18,0.753424657534247,23966.4794520548
39,54,19,0.73972602739726,24670.0
40,58,15,0.794520547945205,24260.7534246575
41,52,21,0.712328767123288,29194.8630136986
42,50,23,0.684931506849315,23121.1095890411
43,49,24,0.671232876712329,21464.7808219178
44,48,25,0.657534246575342,25591.1095890411
45,56,17,0.767123287671233,22208.4931506849
46,53,20,0.726027397260274,24400.0
47,53,20,0.726027397260274,24071.8904109589
48,54,19,0.73972602739726,23463.2191780822
49,60,13,0.821917808219178,23788.904109589
50,49,24,0.671232876712329,22334.2739726027
51,45,28,0.616438356164384,21965.3698630137
52,52,21,0.712328767123288,18957.904109589
53,61,12,0.835616438356164,22314.2054794521
54,48,25,0.657534246575342,23939.4657534247
55,54,19,0.73972602739726,21722.9726027397
56,52,21,0.712328767123288,23985.5616438356
57,51,22,0.698630136986301,20355.4520547945
58,55,18,0.753424657534247,21804.397260274
59,58,15,0.794520547945205,22869.9178082192
60,50,23,0.684931506849315,21229.3150684931
61,57,16,0.780821917808219,24819.2191780822
62,49,24,0.671232876712329,21399.3150684931
63,56,17,0.767123287671233,23652.4794520548
64,56,17,0.767123287671233,18844.1369863014
65,55,18,0.753424657534247,20155.5205479452
66,55,18,0.753424657534247,19601.397260274
67,59,14,0.808219178082192,21280.7260273973
68,48,25,0.657534246575342,19960.8904109589
69,51,22,0.698630136986301,24474.904109589
70,54,19,0.73972602739726,23552.3698630137
71,58,15,0.794520547945205,22526.4109589041
72,61,12,0.835616438356164,21651.2465753425
73,49,24,0.671232876712329,22540.4246575342
74,54,19,0.73972602739726,20611.5068493151
75,53,20,0.726027397260274,20378.095890411
76,49,24,0.671232876712329,22038.5753424658
77,58,15,0.794520547945205,18823.3287671233
78,54,19,0.73972602739726,18163.9452054795
79,56,17,0.767123287671233,17991.9178082192
80,61,12,0.835616438356164,14486.3287671233
81,56,17,0.767123287671233,18106.7260273973
82,48,24,0.666666666666667,21871.1805555556
83,56,15,0.788732394366197,17589.2535211268
